geo_point_2d;geo_shape;objectid_1;codeunique;nom_long;nom_so_gar;nom_su_gar;id_ref_zdc;nom_zdc;id_ref_zda;nom_zda;idrefliga;idrefligc;res_com;mode;train;rer;metro;tramway;val;tertrain;terrer;termetro;tertram;terval;exploitant;idf;principal;x;y
48.830388589693484, 2.3934496983168314;"{""coordinates"": [2.393449698316831, 48.830388589693484], ""type"": ""Point""}";861;1316;Baron Le Roy;;;71570;Baron Leroy;58730;Baron Le Roy;A01193;C01391;TRAM 3a;TRAM;0;0;0;1;0;0;0;0;0;0;RATP;1;1;655473.1841;6859096.7621
48.82435470174538, 2.3776609174226047;"{""coordinates"": [2.377660917422605, 48.82435470174538], ""type"": ""Point""}";863;1318;Maryse Bastié;;;73623;Maryse Bastié;58493;Maryse Bastié;A01193;C01391;TRAM 3a;TRAM;0;0;0;1;0;0;0;0;0;0;RATP;1;1;654308.8667;6858434.8814
48.933586403729805, 2.3710831716238596;"{""coordinates"": [2.37108317162386, 48.933586403729805], ""type"": ""Point""}";872;1005;Hôpital Delafontaine;;;461959;Hôpital Delafontaine / Joliot Curie;43375;Hôpital Delafontaine;A01191;C01389;TRAM 1;TRAM;0;0;0;1;0;0;0;0;0;0;RATP;1;0;653922.6904;6870584.5906
48.798822652969584, 2.3815109717362284;"{""coordinates"": [2.381510971736228, 48.798822652969584], ""type"": ""Point""}";894;117077;Beethoven - Concorde;;VITRY-SUR-SEINE;70273;Beethoven - Concorde;478994;Beethoven - Concorde;A02371;C02317;TRAM 9;TRAM;0;0;0;1;0;0;0;0;0;0;KEOLIS;1;0;654569.2895;6855593.8252
48.79289156930713, 2.386206654643861;"{""coordinates"": [2.386206654643861, 48.79289156930713], ""type"": ""Point""}";895;117078;Musée MAC VAL;;VITRY-SUR-SEINE;70198;Musée MAC VAL;479030;Musée MAC VAL;A02371;C02317;TRAM 9;TRAM;0;0;0;1;0;0;0;0;0;0;KEOLIS;1;0;654909.0747;6854931.6825
48.75920002947269, 2.4088756061623666;"{""coordinates"": [2.408875606162367, 48.75920002947269], ""type"": ""Point""}";903;117086;Carle - Darthé;;CHOISY-LE-ROI;69781;Carle - Darthé;479011;Carle - Darthé;A02371;C02317;TRAM 9;TRAM;0;0;0;1;0;0;0;0;0;0;KEOLIS;1;0;656546.3224;6851173.0182
48.936389147061696, 2.3636407021979244;"{""coordinates"": [2.363640702197924, 48.936389147061696], ""type"": ""Point""}";908;1004;Cimetière de Saint-Denis;Sous-Préfecture;;72322;Cimetière de Saint-Denis;46327;Cimetière de Saint-Denis;A01191;C01389;TRAM 1;TRAM;0;0;0;1;0;0;0;0;0;0;RATP;1;0;653379.9447;6870900.6225
48.78764482364004, 2.2536882197487986;"{""coordinates"": [2.253688219748799, 48.78764482364004], ""type"": ""Point""}";915;117053;Hôpital Béclère;;;423879;Hôpital Béclère;47746;Hôpital Béclère;A02149 / A02527;C01794 / C02528;TRAM 6 / TRAM 10;TRAM;0;0;0;1;0;0;0;0;0;0;RATP / RD Bièvre;1;0;645224.573;6854326.5803
48.91778372525546, 2.4176910933379756;"{""coordinates"": [2.417691093337976, 48.91778372525546], ""type"": ""Point""}";923;1013;Drancy-Avenir;;;72549;Clovis / Drancy - Avenir;42866;Drancy - Avenir;A01191;C01389;TRAM 1;TRAM;0;0;0;1;0;0;0;0;0;0;RATP;1;0;657324.3755;6868801.1591
48.94555553922784, 2.3473129251675138;"{""coordinates"": [2.347312925167514, 48.94555553922784], ""type"": ""Point""}";932;117061;Delaunay-Belleville;;;74368;Delaunay - Belleville;59326;Delaunay - Belleville;A02150;C01795;TRAM 8;TRAM;0;0;0;1;0;0;0;0;0;0;RATP;1;1;652192.2146;6871929.6871
48.79988738317762, 2.281951320169448;"{""coordinates"": [2.281951320169448, 48.79988738317762], ""type"": ""Point""}";933;117056;Parc André Malraux;;;70310;Général De Gaulle / Parc André Malraux;59179;Parc André Malraux;A02149;C01794;TRAM 6;TRAM;0;0;0;1;0;0;0;0;0;0;RATP;1;0;647257.464;6855774.0984
48.93750989644163, 2.350400018540065;"{""coordinates"": [2.350400018540065, 48.93750989644163], ""type"": ""Point""}";937;1001;Théâtre Gérard Philipe;;;72327;Théâtre Gérard Philippe / Eglise Neuve;44937;Théâtre Gérard Philipe;A01191;C01389;TRAM 1;TRAM;0;0;0;1;0;0;0;0;0;0;RATP;1;0;652410.9714;6871033.1479
48.9253087971126, 1.4434127390456775;"{""coordinates"": [1.443412739045677, 48.9253087971126], ""type"": ""Point""}";959;473;Bueil;;;411363;Bueil;411362;Bueil;A02174;C01748;TER;TRAIN;1;0;0;0;0;0;0;0;0;0;SNCF;0;0;585945.3678;6870604.8186
48.58676705859732, 1.5926685170022565;"{""coordinates"": [1.592668517002257, 48.58676705859732], ""type"": ""Point""}";961;476;Maintenon;;;74349;Maintenon;59302;Maintenon;A02172;C01744;TER;TRAIN;1;0;0;0;0;0;0;0;0;0;SNCF;0;0;596209.6236;6832764.6825
48.026636002074476, 3.3027874650688505;"{""coordinates"": [3.30278746506885, 48.026636002074476], ""type"": ""Point""}";968;492;Saint-Julien-du-Sault;;;411474;Saint-Julien du Sault;411473;Saint-Julien du Sault;A02171;C01745;TER;TRAIN;1;0;0;0;0;0;0;0;0;0;SNCF;0;0;722570.3595;6769626.8383
48.787566728367985, 2.292988009258979;"{""coordinates"": [2.292988009258979, 48.787566728367985], ""type"": ""Point""}";971;293;Fontenay-aux-Roses;;;70133;Fontenay-aux-Roses;43125;Fontenay-aux-Roses;A01857;C01743;RER B;RER;0;1;0;0;0;0;0;0;0;0;RATP;1;0;648055.8498;6854396.9194
